Position,State,Member,Party,Chamber,Geography,Region,Division,MALELFP,FEMALELFP,MARRIEDRATE,TOTALHHs,MARRIEDwKIDS,COHABITwKIDS,SINGDADwKIDS,SINGMOMwKIDS,KIDSPRESENTHH,ALLFERTILITY,UNMARRFERTILITY,FERTILITYRATE,MARRIEDFERTILITY,MARRIEDwKIDSpct,Abbrev,DEM.,REP.,FIPS,DemxHouse.y,GOPxHouse.y,Note,Flip
"Congressional District 7 (118th Congress), Massachusetts",Massachusetts,Ayanna Pressley,Democratic ,7,5001800US2507,Northeast,New England,0.726343968189361,0.6719019401307543,31.4,303021,34455,4896,2372,20202,23.5,8127,2885,35,5242,11.4,MA,0.61,0.36,25,0.97,--,NA,NA
"Congressional District 8 (118th Congress), Massachusetts",Massachusetts,Stephen Lynch,Democratic ,8,5001800US2508,Northeast,New England,0.7427535417315703,0.6722601179629807,46.2,314685,55823,5109,2664,12642,26.7,8232,1642,43,6590,17.7,MA,0.61,0.36,25,0.7,0.28999999999999998,NA,NA
"Congressional District 9 (118th Congress), Massachusetts",Massachusetts,Bill Keating,Democratic ,9,5001800US2509,Northeast,New England,0.6799720593047549,0.5882611132694914,50.8,314053,50659,6480,3785,11530,25.8,6969,1798,45,5171,16.1,MA,0.61,0.36,25,0.56000000000000005,0.43,NA,NA
"Congressional District 1 (118th Congress), Michigan",Michigan,Jack Bergman,Republican ,1,5001800US2601,Midwest,NE Central,0.5722040215202429,0.519834258268422,52.0,330864,44749,7925,4251,9752,22.3,6529,1963,45,4566,13.5,MI,0.48,0.5,26,0.38,0.59,NA,NA
"Congressional District 2 (118th Congress), Michigan",Michigan,John Moolenaar,Republican ,2,5001800US2602,Midwest,NE Central,0.6047053034613197,0.5408913679720747,51.4,294011,51592,7798,4320,9881,28.0,8535,2462,53,6073,17.5,MI,0.48,0.5,26,0.32,0.65,NA,NA
"Congressional District 3 (118th Congress), Michigan",Michigan,Hillary Scholten,Democratic ,3,5001800US2603,Midwest,NE Central,0.7225123598635192,0.6265530649807173,47.9,297551,57627,7784,3566,15853,31.2,9939,3003,52,6936,19.4,MI,0.48,0.5,26,0.54,0.44,NA,NA
"Congressional District 4 (118th Congress), Michigan",Michigan,Bill Huizenga,Republican ,4,5001800US2604,Midwest,NE Central,0.6929267370980727,0.5981034317331372,50.2,301955,57470,7688,3854,15827,30.6,9634,3110,53,6524,19.0,MI,0.48,0.5,26,0.43,0.55000000000000004,NA,NA
"Congressional District 5 (118th Congress), Michigan",Michigan,Tim Walberg,Republican ,5,5001800US2605,Midwest,NE Central,0.6242567918763707,0.5541036309831969,50.3,303035,49874,7901,4116,12422,27.3,7966,2547,50,5419,16.5,MI,0.48,0.5,26,0.33,0.66,NA,NA
"Congressional District 6 (118th Congress), Michigan",Michigan,Debbie Dingell,Democratic ,6,5001800US2606,Midwest,NE Central,0.6954659279281012,0.5910265226846086,49.5,305747,60664,4242,3646,11092,27.8,8974,2699,48,6275,19.8,MI,0.48,0.5,26,0.62,0.35,NA,NA
"Congressional District 7 (118th Congress), Michigan",Michigan,Tom Barrett,Republican ,7,5001800US2607,Midwest,NE Central,0.6776581663883806,0.6041176397345386,49.6,309281,55931,7050,3965,11165,27.4,8536,2440,47,6096,18.1,MI,0.48,0.5,26,0.47,0.5,New member,2024flip
"Congressional District 8 (118th Congress), Michigan",Michigan,Kristen McDonald Rivet,Democratic ,8,5001800US2608,Midwest,NE Central,0.6179460252040897,0.5453253335964284,45.6,319953,46703,9787,4843,19326,27.8,9400,4496,55,4904,14.6,MI,0.48,0.5,26,0.51,0.45,New member,NA
"Congressional District 9 (118th Congress), Michigan",Michigan,Lisa McClain,Republican ,9,5001800US2609,Midwest,NE Central,0.6779788790635537,0.5661319175031059,54.7,301991,60555,7285,4072,10401,29.5,8466,2387,53,6079,20.1,MI,0.48,0.5,26,0.3,0.67,NA,NA
"Congressional District 10 (118th Congress), Michigan",Michigan,John James,Republican ,10,5001800US2610,Midwest,NE Central,0.7030437768743266,0.5759004296968977,47.5,317597,53671,6636,3480,13892,26.7,9238,2396,53,6842,16.9,MI,0.48,0.5,26,0.45,0.51,NA,NA
"Congressional District 11 (118th Congress), Michigan",Michigan,Haley Stevens,Democratic ,11,5001800US2611,Midwest,NE Central,0.7343070523728493,0.6098027906291801,48.5,328794,57423,4539,3266,12535,25.5,8722,2178,49,6544,17.5,MI,0.48,0.5,26,0.57999999999999996,0.4,NA,NA
"Congressional District 12 (118th Congress), Michigan",Michigan,Rashida Tlaib,Democratic ,12,5001800US2612,Midwest,NE Central,0.6376780561776455,0.5540190657354481,37.2,297164,41653,6278,3866,23940,29.1,10744,5201,59,5543,14.0,MI,0.48,0.5,26,0.7,0.25,NA,NA
"Congressional District 13 (118th Congress), Michigan",Michigan,Shri Thanedar,Democratic ,13,5001800US2613,Midwest,NE Central,0.6131121280681278,0.5395600398526086,32.3,301310,33892,7223,4201,25726,27.6,10185,5742,55,4443,11.2,MI,0.48,0.5,26,0.69,0.25,NA,NA
"Congressional District 1 (118th Congress), Minnesota",Minnesota,Brad Finstad,Republican ,1,5001800US2701,Midwest,NW Central,0.7129808351527809,0.6389518398667664,51.7,286310,53422,7961,3997,10361,28.3,9943,2942,64,7001,18.7,MN,0.51,0.47,27,0.41,0.59,NA,NA
"Congressional District 2 (118th Congress), Minnesota",Minnesota,Angie Craig,Democratic ,2,5001800US2702,Midwest,NW Central,0.7667723658662694,0.6840653105228813,55.4,266052,65662,6092,3905,11692,35.3,9434,1829,57,7605,24.7,MN,0.51,0.47,27,0.56000000000000005,0.42,NA,NA
"Congressional District 3 (118th Congress), Minnesota",Minnesota,Kelly Morrison,Democratic ,3,5001800US2703,Midwest,NW Central,0.7571571250482974,0.6499017191351284,55.2,282871,63412,5314,3280,11731,31.3,9143,2235,59,6908,22.4,MN,0.51,0.47,27,0.57999999999999996,0.42,New member,NA
"Congressional District 4 (118th Congress), Minnesota",Minnesota,Betty McCollum,Democratic ,4,5001800US2704,Midwest,NW Central,0.717855194734354,0.6502353715944291,46.5,278173,51384,7574,3594,12596,29.2,9923,2530,59,7393,18.5,MN,0.51,0.47,27,0.67,0.33,NA,NA
"Congressional District 5 (118th Congress), Minnesota",Minnesota,Ilhan Omar,Democratic ,5,5001800US2705,Midwest,NW Central,0.7555557076235087,0.6961073825503356,38.8,303338,43487,5462,3570,13850,23.6,8819,1992,47,6827,14.3,MN,0.51,0.47,27,0.75,0.25,NA,NA
"Congressional District 6 (118th Congress), Minnesota",Minnesota,Tom Emmer,Republican ,6,5001800US2706,Midwest,NW Central,0.7518296125589009,0.6898689253773719,55.2,259939,66240,6918,3942,10412,35.6,9667,1691,58,7976,25.5,MN,0.51,0.47,27,0.37,0.63,NA,NA
"Congressional District 7 (118th Congress), Minnesota",Minnesota,Michelle Fischbach,Republican ,7,5001800US2707,Midwest,NW Central,0.6959873513574153,0.6060340948857671,54.8,288540,54280,7672,3760,9767,27.8,8838,2435,63,6403,18.8,MN,0.51,0.47,27,0.28999999999999998,0.71,NA,NA
"Congressional District 8 (118th Congress), Minnesota",Minnesota,Pete Stauber,Republican ,8,5001800US2708,Midwest,NW Central,0.6372986707970156,0.5875575476451069,51.0,290903,46402,8316,4045,9561,25.9,7088,2362,49,4726,16.0,MN,0.51,0.47,27,0.42,0.57999999999999996,NA,NA
"Congressional District 1 (118th Congress), Mississippi",Mississippi,Trent Kelly,Republican ,1,5001800US2801,South,SE Central,0.6417134916319256,0.5509717057819188,48.7,280956,52857,5286,3313,18027,33.0,9234,3313,52,5921,18.8,MS,0.37,0.61,28,0.3,0.7,NA,NA
"Congressional District 2 (118th Congress), Mississippi",Mississippi,Bennie Thompson,Democratic ,2,5001800US2802,South,SE Central,0.5425640328826686,0.5183168885751342,35.6,277475,29832,5481,2872,26807,29.4,9127,5708,54,3419,10.8,MS,0.37,0.61,28,0.62,0.38,NA,NA
"Congressional District 3 (118th Congress), Mississippi",Mississippi,Michael Guest,Republican ,3,5001800US2803,South,SE Central,0.6247697170325657,0.5387596015772799,47.0,281145,49306,4874,2828,19595,31.3,10015,4644,57,5371,17.5,MS,0.37,0.61,28,--,1,NA,NA
"Congressional District 4 (118th Congress), Mississippi",Mississippi,Mike Ezell,Republican ,4,5001800US2804,South,SE Central,0.6271554735753613,0.543791581582241,47.2,281693,49793,5643,3425,20616,32.9,9925,3889,57,6036,17.7,MS,0.37,0.61,28,0.26,0.74,NA,NA
"Congressional District 1 (118th Congress), Missouri",Missouri,Wesley Bell,Democratic ,1,5001800US2901,Midwest,NW Central,0.6735548710182588,0.6357389146200808,34.9,337820,34975,6884,4515,25909,24.9,9253,4154,48,5099,10.4,MO,0.4,0.58,29,0.76,0.18,New member,NA
"Congressional District 2 (118th Congress), Missouri",Missouri,Ann Wagner,Republican ,2,5001800US2902,Midwest,NW Central,0.7177957259857533,0.5948527879679499,56.9,306166,67389,5066,3341,10066,30.3,7850,1244,48,6606,22.0,MO,0.4,0.58,29,0.42,0.55000000000000004,NA,NA
"Congressional District 3 (118th Congress), Missouri",Missouri,Bob Onder,Republican ,3,5001800US2903,Midwest,NW Central,0.6735992590265656,0.6090030362609982,52.5,299802,59040,6443,3902,10733,29.3,9657,2557,55,7100,19.7,MO,0.4,0.58,29,0.35,0.61,New member,NA
"Congressional District 4 (118th Congress), Missouri",Missouri,Mark Alford,Republican ,4,5001800US2904,Midwest,NW Central,0.6587086945032574,0.5667167825596693,51.6,292105,55670,7554,4363,12253,30.5,10509,3341,62,7168,19.1,MO,0.4,0.58,29,0.26,0.71,NA,NA
"Congressional District 5 (118th Congress), Missouri",Missouri,Emanuel Cleaver,Democratic ,5,5001800US2905,Midwest,NW Central,0.7202358041448048,0.6304569904339108,42.0,325605,46662,7718,4033,20031,26.7,9552,3084,51,6468,14.3,MO,0.4,0.58,29,0.6,0.37,NA,NA
"Congressional District 6 (118th Congress), Missouri",Missouri,Sam Graves,Republican ,6,5001800US2906,Midwest,NW Central,0.6571036498079827,0.5712413381433131,51.1,289057,57168,7544,4527,12241,31.1,10068,2962,59,7106,19.8,MO,0.4,0.58,29,0.27,0.71,NA,NA
"Congressional District 7 (118th Congress), Missouri",Missouri,Eric Burlison,Republican ,7,5001800US2907,Midwest,NW Central,0.6585183932851332,0.5604605433703631,51.9,310600,55785,7635,3825,11562,28.5,10517,3028,60,7489,18.0,MO,0.4,0.58,29,0.26,0.71,NA,NA
"Congressional District 8 (118th Congress), Missouri",Missouri,Jason Smith,Republican ,8,5001800US2908,Midwest,NW Central,0.6086667121237211,0.5404345852900185,49.6,297169,51778,7656,4483,14263,30.0,9145,2722,55,6423,17.4,MO,0.4,0.58,29,0.22,0.76,NA,NA
"Congressional District 1 (118th Congress), Montana",Montana,Ryan K. Zinke,Republican ,1,5001800US3001,West,Mountain,0.6575043592168157,0.5992455687303111,50.0,223381,35873,4020,2761,6955,24.4,5115,1213,42,3902,16.1,MT,0.38,0.58,30,0.45,0.52,NA,NA
"Congressional District 2 (118th Congress), Montana",Montana,Troy Downing,Republican ,2,5001800US3002,West,Mountain,0.6746256075716831,0.5884039928994629,51.7,220536,38928,5019,3628,7863,27.8,7909,2124,69,5785,17.7,MT,0.38,0.58,30,0.34,0.66,New member,NA
"Congressional District 1 (118th Congress), Nebraska",Nebraska,Mike Flood,Republican ,1,5001800US3101,Midwest,NW Central,0.74439838177612,0.6549175335020148,51.1,257850,52794,5848,3650,10931,30.5,7968,2403,52,5565,20.5,NE,0.39,0.6,31,0.4,0.6,NA,NA
"Congressional District 2 (118th Congress), Nebraska",Nebraska,Don Bacon,Republican ,2,5001800US3102,Midwest,NW Central,0.754428146823575,0.6678301819816835,49.8,256308,55120,5714,4294,12818,32.5,9790,2844,62,6946,21.5,NE,0.39,0.6,31,0.49,0.51,NA,NA
"Congressional District 3 (118th Congress), Nebraska",Nebraska,Adrian Smith,Republican ,3,5001800US3103,Midwest,NW Central,0.7020416076933517,0.6056066466457108,53.9,262221,49651,7159,3304,10411,29.2,9246,2934,69,6312,18.9,NE,0.39,0.6,31,0.2,0.8,NA,NA
"Congressional District 1 (118th Congress), Nevada",Nevada,Dina Titus,Democratic ,1,5001800US3201,West,Mountain,0.664749543515949,0.5653789543855481,42.4,284182,43361,8163,4650,17418,29.7,8694,3837,49,4857,15.3,NV,0.47,0.51,32,0.52,0.44,NA,NA
"Congressional District 2 (118th Congress), Nevada",Nevada,Mark Amodei,Republican ,2,5001800US3202,West,Mountain,0.67842188775746,0.589430126710857,48.5,305375,51648,8087,5713,12317,28.8,8881,3031,53,5850,16.9,NV,0.47,0.51,32,--,0.55000000000000004,NA,NA
"Congressional District 3 (118th Congress), Nevada",Nevada,Susie Lee,Democratic ,3,5001800US3203,West,Mountain,0.720354833538182,0.6170680041120215,46.0,303135,50372,8098,4953,13493,28.2,8946,2765,47,6181,16.6,NV,0.47,0.51,32,0.51,0.49,NA,NA
"Congressional District 4 (118th Congress), Nevada",Nevada,Steven Horsford,Democratic ,4,5001800US3204,West,Mountain,0.6570064626539666,0.564170878553984,44.4,270979,48696,8684,4687,17508,34.1,9841,4045,52,5796,18.0,NV,0.47,0.51,32,0.53,0.45,NA,NA
"Congressional District 1 (118th Congress), New Hampshire",New Hampshire,Chris Pappas,Democratic ,1,5001800US3301,Northeast,New England,0.726255884212745,0.6339262220855332,50.7,275024,47912,6055,2989,9990,26.8,6972,1698,45,5274,17.4,NH,0.51,0.48,33,0.54,0.46,NA,NA
"Congressional District 2 (118th Congress), New Hampshire",New Hampshire,Maggie Goodlander,Democratic ,2,5001800US3302,Northeast,New England,0.6929560899111343,0.613273654091894,51.4,270092,47674,6344,2879,7782,26.5,6826,2363,47,4463,17.7,NH,0.51,0.48,33,0.53,0.47,New member,NA
"Congressional District 1 (118th Congress), New Jersey",New Jersey,Donald Norcross,Democratic ,1,5001800US3401,Northeast,Mid-Atlantic,0.7103665970772443,0.6241978157635988,44.7,292985,50072,7708,3635,16815,30.4,8686,3154,48,5532,17.1,NJ,0.52,0.46,34,0.57999999999999996,0.4,NA,NA
"Congressional District 2 (118th Congress), New Jersey",New Jersey,Jeff Van Drew,Republican ,2,5001800US3402,Northeast,Mid-Atlantic,0.6415696594823722,0.5735646562668367,48.6,299190,49847,7726,3331,14496,28.8,8977,3314,56,5663,16.7,NJ,0.52,0.46,34,0.41,0.57999999999999996,NA,NA
"Congressional District 3 (118th Congress), New Jersey",New Jersey,Herb Conaway,Democratic ,3,5001800US3403,Northeast,Mid-Atlantic,0.7134159042476487,0.6122539520181403,53.7,288075,66186,4622,2901,11098,31.9,6962,1455,41,5507,23.0,NJ,0.52,0.46,34,0.53,0.45,New member,NA
"Congressional District 4 (118th Congress), New Jersey",New Jersey,Chris Smith,Republican ,4,5001800US3404,Northeast,Mid-Atlantic,0.6604096619154686,0.5698466726248201,53.3,289050,63291,3648,2230,7256,28.8,11310,967,74,10343,21.9,NJ,0.52,0.46,34,0.32,0.67,NA,NA
"Congressional District 5 (118th Congress), New Jersey",New Jersey,Josh Gottheimer,Democratic ,5,5001800US3405,Northeast,Mid-Atlantic,0.7293996001478995,0.6095001038415161,55.5,283342,69568,3801,2188,9174,32.0,7510,1314,45,6196,24.6,NJ,0.52,0.46,34,0.55000000000000004,0.43,NA,NA
"Congressional District 6 (118th Congress), New Jersey",New Jersey,Frank Pallone Jr.,Democratic ,6,5001800US3406,Northeast,Mid-Atlantic,0.7246722746078014,0.6092032427301046,48.0,277003,58189,6814,2523,14092,32.8,8902,2493,48,6409,21.0,NJ,0.52,0.46,34,0.56000000000000005,0.4,NA,NA
"Congressional District 7 (118th Congress), New Jersey",New Jersey,Thomas Kean Jr.,Republican ,7,5001800US3407,Northeast,Mid-Atlantic,0.7292812871660495,0.625119668367584,56.8,291267,73449,4264,2810,9463,32.7,8417,1672,50,6745,25.2,NJ,0.52,0.46,34,0.46,0.52,NA,NA
"Congressional District 8 (118th Congress), New Jersey",New Jersey,Robert Menendez Jr.,Democratic ,8,5001800US3408,Northeast,Mid-Atlantic,0.7710096192708754,0.6288646064094485,41.9,300717,52265,9338,3453,17869,30.2,11571,3524,57,8047,17.4,NJ,0.52,0.46,34,0.59,0.34,NA,NA
"Congressional District 9 (118th Congress), New Jersey",New Jersey,Nellie Pou,Democratic ,9,5001800US3409,Northeast,Mid-Atlantic,0.733311401978474,0.6110882406441175,46.2,272310,54666,9223,2771,16154,34.0,9844,3009,54,6835,20.1,NJ,0.52,0.46,34,0.51,0.46,New member,NA
"Congressional District 10 (118th Congress), New Jersey",New Jersey,LaMonica McIver,Democratic ,10,5001800US3410,Northeast,Mid-Atlantic,0.693944251952216,0.6176620644478598,37.7,282011,44401,7060,3852,24941,32.4,10165,3915,53,6250,15.7,NJ,0.52,0.46,34,0.74,0.22,NA,NA
"Congressional District 11 (118th Congress), New Jersey",New Jersey,Mikie Sherrill,Democratic ,11,5001800US3411,Northeast,Mid-Atlantic,0.7401132541517763,0.624455975372934,54.7,282932,74372,2894,2355,9436,33.3,7425,1036,43,6389,26.3,NJ,0.52,0.46,34,0.56999999999999995,0.42,NA,NA
"Congressional District 12 (118th Congress), New Jersey",New Jersey,Bonnie Watson Coleman,Democratic ,12,5001800US3412,Northeast,Mid-Atlantic,0.730633117045254,0.6053920254781087,51.5,279280,64120,5765,2307,12084,32.7,7993,2640,45,5353,23.0,NJ,0.52,0.46,34,0.61,0.36,NA,NA
"Congressional District 1 (118th Congress), New Mexico",New Mexico,Melanie Ann Stansbury,Democratic ,1,5001800US3501,West,Mountain,0.6548857568064431,0.5704979295020705,44.3,299545,39989,8480,3738,13615,25.0,8084,3209,51,4875,13.3,NM,0.52,0.46,35,0.56000000000000005,0.44,NA,NA
"Congressional District 2 (118th Congress), New Mexico",New Mexico,Gabriel Vasquez,Democratic ,2,5001800US3502,West,Mountain,0.5991844592986783,0.5116684220397917,42.3,251291,39890,10369,4490,14866,31.8,9463,4453,58,5010,15.9,NM,0.52,0.46,35,0.52,0.48,NA,NA
"Congressional District 3 (118th Congress), New Mexico",New Mexico,Teresa Leger Fernandez,Democratic ,3,5001800US3503,West,Mountain,0.5994993381018854,0.5178458034602518,42.5,262016,36799,8081,4306,14991,29.6,8444,4344,55,4100,14.0,NM,0.52,0.46,35,0.56000000000000005,0.44,NA,NA
"Congressional District 1 (118th Congress), New York",New York,Nicholas J. LaLota,Republican ,1,5001800US3601,Northeast,Mid-Atlantic,0.6966485292957969,0.5903888965654891,53.0,272698,63335,3676,2125,7404,30.5,7042,1363,43,5679,23.2,NY,0.56,0.44,36,0.44,0.56000000000000005,NA,NA
"Congressional District 2 (118th Congress), New York",New York,Andrew Garbarino,Republican ,2,5001800US3602,Northeast,Mid-Atlantic,0.722881260188189,0.6254204211741673,47.8,247052,52889,5434,1620,9076,32.7,9743,3071,55,6672,21.4,NY,0.56,0.44,36,0.4,0.6,NA,NA
"Congressional District 3 (118th Congress), New York",New York,Tom Suozzi,Democratic ,3,5001800US3603,Northeast,Mid-Atlantic,0.6960789720399272,0.5691881750233003,56.9,267119,67143,2596,1723,6616,31.8,7831,999,48,6832,25.1,NY,0.56,0.44,36,0.52,0.48,NA,NA
"Congressional District 4 (118th Congress), New York",New York,Laura Gillen,Republican ,4,5001800US3604,Northeast,Mid-Atlantic,0.7134276417329414,0.6141441749231294,50.4,246626,61955,4411,2009,9695,36.5,9314,2017,53,7297,25.1,NY,0.56,0.44,36,0.51,0.49,New member,2024flip
"Congressional District 5 (118th Congress), New York",New York,Gregory W. Meeks,Democratic ,5,5001800US3605,Northeast,Mid-Atlantic,0.6640898454559083,0.5812967879685369,41.9,248685,43086,4163,2904,16169,33.6,8115,3017,43,5098,17.3,NY,0.56,0.44,36,0.73,0.27,NA,NA
"Congressional District 6 (118th Congress), New York",New York,Grace Meng,Democratic ,6,5001800US3606,Northeast,Mid-Atlantic,0.7037850174169525,0.569345939262713,50.9,277703,52871,4258,1732,9468,27.3,7203,1390,41,5813,19.0,NY,0.56,0.44,36,0.6,0.38,NA,NA
"Congressional District 7 (118th Congress), New York",New York,Nydia Velazquez,Democratic ,7,5001800US3607,Northeast,Mid-Atlantic,0.7408959426682102,0.6397277073173856,37.5,287909,41557,4998,2130,14259,25.2,8955,2147,41,6808,14.4,NY,0.56,0.44,36,0.78,0.22,NA,NA
"Congressional District 8 (118th Congress), New York",New York,Hakeem Jeffries,Democratic ,8,5001800US3608,Northeast,Mid-Atlantic,0.6171702363499839,0.5561498568450152,37.0,291865,37641,4307,3080,24978,29.1,8597,3951,43,4646,12.9,NY,0.56,0.44,36,0.75,0.25,NA,NA
"Congressional District 9 (118th Congress), New York",New York,Yvette D. Clarke,Democratic ,9,5001800US3609,Northeast,Mid-Atlantic,0.6616091114738138,0.5997602573817125,39.4,278160,44956,4164,2532,17141,29.3,8850,1824,47,7026,16.2,NY,0.56,0.44,36,0.74,0.26,NA,NA
"Congressional District 10 (118th Congress), New York",New York,Daniel Goldman,Democratic ,10,5001800US3610,Northeast,Mid-Atlantic,0.7190315107667653,0.6587475614141729,41.4,311628,48773,4016,1935,9994,22.7,9072,1037,44,8035,15.7,NY,0.56,0.44,36,0.82,0.15,NA,NA
"Congressional District 11 (118th Congress), New York",New York,Nicole Malliotakis,Republican ,11,5001800US3611,Northeast,Mid-Atlantic,0.6616805263333667,0.5503072438898212,50.2,266411,58388,4886,1760,12163,32.2,8451,1958,48,6493,21.9,NY,0.56,0.44,36,0.35,0.65,NA,NA
"Congressional District 12 (118th Congress), New York",New York,Jerrold Nadler,Democratic ,12,5001800US3612,Northeast,Mid-Atlantic,0.7556319786826817,0.6525900360144058,40.7,376289,43567,1917,1820,7164,15.1,8335,628,42,7707,11.6,NY,0.56,0.44,36,0.8,0.2,NA,NA
"Congressional District 13 (118th Congress), New York",New York,Adriano Espaillat,Democratic ,13,5001800US3613,Northeast,Mid-Atlantic,0.6651273338229777,0.5830510682647212,28.5,311318,31234,5919,3521,29789,27.3,8659,3844,40,4815,10.0,NY,0.56,0.44,36,0.84,0.16,NA,NA
"Congressional District 14 (118th Congress), New York",New York,Alexandria Ocasio-Cortez,Democratic ,14,5001800US3614,Northeast,Mid-Atlantic,0.6747458386463108,0.5670360850552458,36.9,258900,37150,7974,2372,19044,30.8,9004,3733,50,5271,14.3,NY,0.56,0.44,36,0.69,0.31,NA,NA
"Congressional District 15 (118th Congress), New York",New York,Ritchie Torres,Democratic ,15,5001800US3615,Northeast,Mid-Atlantic,0.6227052425172962,0.5409408045011234,30.6,280725,33167,8281,4607,38841,35.0,11888,6254,59,5634,11.8,NY,0.56,0.44,36,0.77,0.21,NA,NA
"Congressional District 16 (118th Congress), New York",New York,George Latimer,Democratic ,16,5001800US3616,Northeast,Mid-Atlantic,0.7066406592739078,0.5962604551643649,46.9,285381,60404,4526,3441,16588,33.5,8435,2113,46,6322,21.2,NY,0.56,0.44,36,0.72,0.28000000000000003,New member,NA
"Congressional District 17 (118th Congress), New York",New York,Michael Lawler,Republican ,17,5001800US3617,Northeast,Mid-Atlantic,0.6838993606244291,0.5964149424988967,54.4,258714,70788,2831,2257,8798,35.1,9608,1458,58,8150,27.4,NY,0.56,0.44,36,0.46,0.52,NA,NA
"Congressional District 18 (118th Congress), New York",New York,Pat Ryan,Democratic ,18,5001800US3618,Northeast,Mid-Atlantic,0.6591464802002249,0.5922909777987718,47.8,281495,56639,6314,3130,11924,30.6,9692,2127,55,7565,20.1,NY,0.56,0.44,36,0.56999999999999995,0.43,NA,NA
"Congressional District 19 (118th Congress), New York",New York,Josh Riley,Democratic ,19,5001800US3619,Northeast,Mid-Atlantic,0.6071638249279959,0.5486605484474054,44.6,315763,43127,8862,4050,11980,24.0,8110,2790,47,5320,13.7,NY,0.56,0.44,36,0.51,0.49,New member,2024flip
"Congressional District 20 (118th Congress), New York",New York,Paul Tonko,Democratic ,20,5001800US3620,Northeast,Mid-Atlantic,0.678590763600214,0.6097427624720998,44.7,323688,50315,7426,3313,14951,25.6,8187,2404,44,5783,15.5,NY,0.56,0.44,36,0.61,0.39,NA,NA
"Congressional District 21 (118th Congress), New York",New York,Elise Stefanik,Republican ,21,5001800US3621,Northeast,Mid-Atlantic,0.6193164489014139,0.5548530460472698,48.8,311103,50012,9949,3702,10407,26.3,9770,2767,61,7003,16.1,NY,0.56,0.44,36,0.38,0.62,NA,NA
"Congressional District 22 (118th Congress), New York",New York,John Mannion,Democratic ,22,5001800US3622,Northeast,Mid-Atlantic,0.6397404523786965,0.5743885070282989,45.1,311108,48101,8821,4102,15823,27.3,9560,3176,55,6384,15.5,NY,0.56,0.44,36,0.55000000000000004,0.45,New member,2024flip
"Congressional District 23 (118th Congress), New York",New York,Nick Langworthy,Republican ,23,5001800US3623,Northeast,Mid-Atlantic,0.6294714108377879,0.5651443974294802,49.5,321527,52093,8272,4203,12016,26.3,7890,2462,50,5428,16.2,NY,0.56,0.44,36,0.34,0.66,NA,NA
"Congressional District 24 (118th Congress), New York",New York,Claudia Tenney,Republican ,24,5001800US3624,Northeast,Mid-Atlantic,0.6317810297496355,0.5709029413159268,48.7,316306,49860,10944,3908,12666,27.0,9465,2982,58,6483,15.8,NY,0.56,0.44,36,0.34,0.66,NA,NA
"Congressional District 25 (118th Congress), New York",New York,Joseph Morelle,Democratic ,25,5001800US3625,Northeast,Mid-Atlantic,0.6692230546870391,0.6026512730896084,44.1,322370,47137,7575,3657,20081,26.7,8367,3154,46,5213,14.6,NY,0.56,0.44,36,0.6,0.4,NA,NA
"Congressional District 26 (118th Congress), New York",New York,Timothy M. Kennedy,Democratic ,26,5001800US3626,Northeast,Mid-Atlantic,0.6568237880123041,0.5830745998187858,40.1,333980,44435,7452,3812,19030,24.9,8205,3193,45,5012,13.3,NY,0.56,0.44,36,0.65,0.35,NA,NA
"Congressional District 1 (118th Congress), North Carolina",North Carolina,Donald Davis,Democratic ,1,5001800US3701,South,South Atlantic,0.6098550505761251,0.5460941137973998,42.9,301648,39915,7249,3252,22402,28.3,8247,4114,49,4133,13.2,NC,0.48,0.51,37,0.5,0.48,NA,NA
"Congressional District 2 (118th Congress), North Carolina",North Carolina,Deborah Ross,Democratic ,2,5001800US3702,South,South Atlantic,0.7706445133430849,0.6456912957073433,51.0,290946,67163,3474,3535,13334,31.8,9501,1775,48,7726,23.1,NC,0.48,0.51,37,0.66,0.32,NA,NA
"Congressional District 3 (118th Congress), North Carolina",North Carolina,Gregory Murphy,Republican ,3,5001800US3703,South,South Atlantic,0.6857212634321068,0.5368710010038036,51.7,293000,51542,6251,3952,16049,30.2,11262,3625,71,7637,17.6,NC,0.48,0.51,37,--,0.77,NA,NA
"Congressional District 4 (118th Congress), North Carolina",North Carolina,Valerie Foushee,Democratic ,4,5001800US3704,South,South Atlantic,0.6677770360021198,0.614005364958351,45.1,296210,48221,6139,3146,15570,27.4,6967,2427,37,4540,16.3,NC,0.48,0.51,37,0.72,0.26,NA,NA
"Congressional District 5 (118th Congress), North Carolina",North Carolina,Virginia Foxx,Republican ,5,5001800US3705,South,South Atlantic,0.631298743282014,0.5411294858460775,47.9,302000,46412,5941,3468,15604,26.5,7217,2667,43,4550,15.4,NC,0.48,0.51,37,0.41,0.59,NA,NA
"Congressional District 6 (118th Congress), North Carolina",North Carolina,Addison McDowell,Democratic ,6,5001800US3706,South,South Atlantic,0.6723501463270849,0.583104155444038,44.8,295703,47875,6681,3723,20203,30.0,9728,4305,53,5423,16.2,NC,0.48,0.51,37,--,0.69,New member,2024flip
"Congressional District 7 (118th Congress), North Carolina",North Carolina,David Rouzer,Republican ,7,5001800US3707,South,South Atlantic,0.6043952337750377,0.5295284094970799,48.0,304427,43931,5077,3151,15887,25.8,7448,3180,44,4268,14.4,NC,0.48,0.51,37,0.41,0.59,NA,NA
